epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.65,1.65563,1.68396,1.49361,0.25085,0.21042,0.16335,0.06475,2.22085,2.61576,2.17811,0.000552832,0.000552832,0.000552832
2,275.493,1.83163,1.83016,1.66815,0.3598,0.3719,0.29939,0.12747,2.037,2.21161,1.89702,0.00108655,0.00108655,0.00108655
3,407.412,1.87644,1.875,1.71302,0.3677,0.36855,0.27125,0.12168,nan,nan,nan,0.00159826,0.00159826,0.00159826
4,536.823,1.85896,1.86992,1.71998,0.4498,0.41835,0.35655,0.16355,1.99977,2.13218,1.82503,0.00156798,0.00156798,0.00156798
5,986.006,1.79728,1.81825,1.68268,0.51653,0.37951,0.39142,0.18556,nan,nan,nan,0.00153497,0.00153497,0.00153497
6,1068.68,1.7904,1.76384,1.6697,0.51299,0.42098,0.41167,0.19744,1.92184,1.8376,1.76912,0.00150197,0.00150197,0.00150197
7,1151.31,1.75689,1.6962,1.61757,0.57236,0.44675,0.46409,0.23299,1.83264,1.65425,1.69852,0.00146896,0.00146896,0.00146896
8,1234.11,1.73842,1.6718,1.61174,0.54427,0.44025,0.45128,0.22418,1.85062,1.76178,1.68408,0.00143595,0.00143595,0.00143595
9,1316.65,1.69966,1.65458,1.60006,0.49925,0.41004,0.40726,0.19592,nan,nan,nan,0.00140295,0.00140295,0.00140295
10,1401.75,1.68687,1.60501,1.59687,0.5371,0.44975,0.45955,0.2303,1.85758,1.65233,1.72187,0.00136994,0.00136994,0.00136994
11,1484.25,1.65469,1.5755,1.57136,0.57793,0.49463,0.50818,0.25593,1.79476,1.57957,1.69093,0.00133693,0.00133693,0.00133693
12,1567.05,1.63808,1.57837,1.57245,0.54798,0.49767,0.44397,0.22056,1.79254,2.08345,1.68593,0.00130393,0.00130393,0.00130393
13,1649.84,1.61997,1.48174,1.52777,0.60498,0.50791,0.53113,0.28344,1.74022,1.47392,1.62505,0.00127092,0.00127092,0.00127092
14,1732.64,1.61431,1.49266,1.54125,0.58686,0.49988,0.49967,0.25625,1.77081,1.87608,1.65744,0.00123791,0.00123791,0.00123791
